tipo_registro,arquivo_origem,aba_origem,titulo_tabela,variavel,nivel,codigo_municipio,municipio,ano,produto,unidade_cabecalho,valor_original,valor_numerico,linha_origem,coluna_origem,ano_cabecalho_original
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1985,Feijão (em grão),,...,,4185,18,1985
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1985,Girassol (em grão),,...,,4185,19,1985
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1985,Milho (em grão),,...,,4185,20,1985
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1985,Soja (em grão),,...,,4185,21,1985
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1985,Tomate,,...,,4185,22,1985
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1985,Trigo (em grão),,...,,4185,23,1985
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1986,Aveia (em grão),,...,,4185,24,1986
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1986,Batata-inglesa,,...,,4185,25,1986
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1986,Cebola,,...,,4185,26,1986
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1986,Cevada (em grão),,...,,4185,27,1986
