split,year,planting_label,planting_date,raw_yield_kg_ha,observed_yield_kg_ha,rain_mm,irrigation_mm,planting_doy,temp_mean_c,srad_mj_m2_day,corrected_yield_kg_ha,raw_abs_error,corrected_abs_error
test,2022,nov05,2022-11-05,3064.0,3923.0,623.0,0.0,309,16.752799121844124,14.024784002135304,3899.696731397811,859.0,23.303268602188837
test,2023,sep25,2023-09-25,5235.0,4154.0,840.0,20.0,268,20.216419028263257,18.08605551742976,3940.5611622113806,1081.0,213.43883778861937
test,2023,oct05,2023-10-05,5464.0,4154.0,796.0,60.0,278,20.216419028263257,18.08605551742976,3919.5363860766447,1310.0,234.4636139233553
test,2023,oct15,2023-10-15,5736.0,4154.0,670.0,80.0,288,20.216419028263257,18.08605551742976,3904.81408717283,1582.0,249.1859128271699
test,2023,oct25,2023-10-25,5872.0,4154.0,641.0,100.0,298,20.216419028263257,18.08605551742976,3895.350940646642,1718.0,258.6490593533581
test,2023,nov05,2023-11-05,5644.0,4154.0,446.0,120.0,309,20.216419028263257,18.08605551742976,3892.1907319085326,1490.0,261.8092680914674
test,2024,sep25,2024-09-25,4505.0,3827.0,676.0,20.0,269,17.666636894783654,22.59421632315975,3922.2569270418985,678.0,95.2569270418985
test,2024,oct05,2024-10-05,5115.0,3827.0,640.0,40.0,279,17.666636894783654,22.59421632315975,3905.8161582444527,1288.0,78.81615824445271
test,2024,oct15,2024-10-15,5844.0,3827.0,594.0,80.0,289,17.666636894783654,22.59421632315975,3880.778678562204,2017.0,53.77867856220382
test,2024,oct25,2024-10-25,5498.0,3827.0,559.0,80.0,299,17.666636894783654,22.59421632315975,3885.414989948458,1671.0,58.41498994845779
test,2024,nov05,2024-11-05,4690.0,3827.0,508.0,80.0,310,17.666636894783654,22.59421632315975,3896.078219232981,863.0,69.07821923298116
